id,state,county,count
22045,la,Iberia Parish,1,
22051,la,Jefferson Parish,4,
22055,la,Lafayette Parish,4,
22057,la,Lafourche Parish,1,
22063,la,Livingston Parish,1,
22071,la,Orleans Parish,4,
22073,la,Ouachita Parish,1,
22085,la,Sabine Parish,1,
22089,la,St. Charles Parish,2,
22117,la,Washington Parish,1,
24005,md,Baltimore County,4,
24025,md,Harford County,1,
28017,ms,Chickasaw County,3,
28029,ms,Copiah County,1,
28035,ms,Forrest County,2,
28047,ms,Harrison County,1,
28049,ms,Hinds County,2,
28059,ms,Jackson County,3,
28079,ms,Leake County,1,
28081,ms,Lee County,2,
28091,ms,Marion County,1,
28101,ms,Newton County,1,
28111,ms,Perry County,1,
28121,ms,Rankin County,1,
28123,ms,Scott County,1,
28137,ms,Tate County,1,
29007,mo,Audrain County,1,
29019,mo,Boone County,1,
29023,mo,Butler County,3,
29027,mo,Callaway County,4,
29037,mo,Cass County,1,
29047,mo,Clay County,4,
29051,mo,Cole County,1,
29071,mo,Franklin County,1,
29095,mo,Jackson County,7,
29099,mo,Jefferson County,4,
29107,mo,Lafayette County,2,
29119,mo,McDonald County,1,
29127,mo,Marion County,1,
29135,mo,Moniteau County,1,
29157,mo,Perry County,1,
29165,mo,Platte County,1,
29175,mo,Randolph County,1,
29183,mo,St. Charles County,3,
29187,mo,St. Francois County,2,
29189,mo,St. Louis County,14,
29197,mo,Schuyler County,2,
29219,mo,Warren County,2,
29221,mo,Washington County,3,
29510,mo,St. Louis city,13,
30073,mt,Pondera County,1,
30077,mt,Powell County,1,
30111,mt,Yellowstone County,1,
31055,ne,Douglas County,1,
31109,ne,Lancaster County,1,
31153,ne,Sarpy County,1,
32003,nv,Clark County,8,
32031,nv,Washoe County,4,
35017,nm,Grant County,1,
37001,nc,Alamance County,1,
37021,nc,Buncombe County,1,
37025,nc,Cabarrus County,1,
37035,nc,Catawba County,1,
37045,nc,Cleveland County,1,
37051,nc,Cumberland County,1,
37057,nc,Davidson County,1,
37061,nc,Duplin County,1,
37065,nc,Edgecombe County,1,
37067,nc,Forsyth County,4,
37079,nc,Greene County,1,
37083,nc,Halifax County,1,
37087,nc,Haywood County,2,
37097,nc,Iredell County,1,
37111,nc,McDowell County,1,
37117,nc,Martin County,1,
37119,nc,Mecklenburg County,5,
37131,nc,Northampton County,1,
37147,nc,Pitt County,3,
37155,nc,Robeson County,2,
37157,nc,Rockingham County,3,
37161,nc,Rutherford County,1,
37171,nc,Surry County,3,
37179,nc,Union County,1,
37183,nc,Wake County,3,
37197,nc,Yadkin County,1,
39013,oh,Belmont County,1,
39017,oh,Butler County,1,
39035,oh,Cuyahoga County,8,
39049,oh,Franklin County,2,
39057,oh,Greene County,1,
39061,oh,Hamilton County,10,
39085,oh,Lake County,2,
39089,oh,Licking County,1,
39093,oh,Lorain County,2,
39095,oh,Lucas County,4,
39099,oh,Mahoning County,2,
39113,oh,Montgomery County,3,
39133,oh,Portage County,1,
39135,oh,Preble County,1,
39139,oh,Richland County,2,
39153,oh,Summit County,6,
39155,oh,Trumbull County,3,
39165,oh,Warren County,1,
39169,oh,Wayne County,1,
39173,oh,Wood County,1,
40009,ok,Beckham County,1,
40017,ok,Canadian County,3,
40019,ok,Carter County,2,
40027,ok,Cleveland County,4,
40029,ok,Coal County,1,
40031,ok,Comanche County,6,
40037,ok,Creek County,1,
40049,ok,Garvin County,1,
40051,ok,Grady County,3,
40055,ok,Greer County,1,
40065,ok,Jackson County,1,
40071,ok,Kay County,2,
40079,ok,Le Flore County,2,
40087,ok,McClain County,1,
40089,ok,McCurtain County,1,
40091,ok,McIntosh County,2,
40097,ok,Mayes County,1,
40101,ok,Muskogee County,4,
40103,ok,Noble County,2,
40109,ok,Oklahoma County,40,
40113,ok,Osage County,1,
40115,ok,Ottawa County,1,
40119,ok,Payne County,1,
40121,ok,Pittsburg County,1,
40125,ok,Pottawatomie County,3,
40129,ok,Roger Mills County,1,
40133,ok,Seminole County,1,
40135,ok,Sequoyah County,2,
40137,ok,Stephens County,3,
40141,ok,Tillman County,1,
40143,ok,Tulsa County,17,
41047,or,Marion County,1,
41065,or,Wasco County,1,
42043,pa,Dauphin County,1,
42091,pa,Montgomery County,1,
42101,pa,Philadelphia County,1,
45003,sc,Aiken County,4,
45007,sc,Anderson County,2,
45013,sc,Beaufort County,2,
45015,sc,Berkeley County,1,
45017,sc,Calhoun County,1,
45019,sc,Charleston County,8,
45035,sc,Dorchester County,2,
45037,sc,Edgefield County,1,
45043,sc,Georgetown County,1,
45045,sc,Greenville County,3,
45051,sc,Horry County,1,
45053,sc,Jasper County,2,
45057,sc,Lancaster County,1,
45063,sc,Lexington County,4,
45075,sc,Orangeburg County,1,
45079,sc,Richland County,4,
45083,sc,Spartanburg County,2,
45089,sc,Williamsburg County,1,
45091,sc,York County,2,
46081,sd,Lawrence County,1,
46099,sd,Minnehaha County,2,
47003,tn,Bedford County,1,
47037,tn,Davidson County,1,
47087,tn,Jackson County,1,
47157,tn,Shelby County,2,
47183,tn,Weakley County,1,
48001,tx,Anderson County,4,
48007,tx,Aransas County,1,
48013,tx,Atascosa County,1,
48017,tx,Bailey County,1,
48019,tx,Bandera County,1,
48021,tx,Bastrop County,1,
48025,tx,Bee County,1,
48027,tx,Bell County,3,
48029,tx,Bexar County,37,
48037,tx,Bowie County,5,
48039,tx,Brazoria County,4,
48041,tx,Brazos County,12,
48049,tx,Brown County,1,
48055,tx,Caldwell County,1,
48061,tx,Cameron County,6,
48071,tx,Chambers County,1,
48073,tx,Cherokee County,3,
48077,tx,Clay County,1,
48085,tx,Collin County,5,
48091,tx,Comal County,2,
48099,tx,Coryell County,1,
48113,tx,Dallas County,53,
48115,tx,Dawson County,1,
48121,tx,Denton County,5,
48135,tx,Ector County,1,
48139,tx,Ellis County,1,
48141,tx,El Paso County,5,
48157,tx,Fort Bend County,4,
48161,tx,Freestone County,1,
48167,tx,Galveston County,6,
48181,tx,Grayson County,2,
48183,tx,Gregg County,5,
48189,tx,Hale County,2,
48193,tx,Hamilton County,1,
48199,tx,Hardin County,1,
48201,tx,Harris County,121,
48203,tx,Harrison County,1,
48209,tx,Hays County,2,
48213,tx,Henderson County,2,
48215,tx,Hidalgo County,3,
48223,tx,Hopkins County,1,
48231,tx,Hunt County,3,
48233,tx,Hutchinson County,1,
48241,tx,Jasper County,1,
48245,tx,Jefferson County,15,
48251,tx,Johnson County,2,
48253,tx,Jones County,1,
48257,tx,Kaufman County,1,
48265,tx,Kerr County,3,
48273,tx,Kleberg County,1,
48277,tx,Lamar County,2,
48289,tx,Leon County,2,
48291,tx,Liberty County,3,
48297,tx,Live Oak County,1,
48299,tx,Llano County,1,
48303,tx,Lubbock County,10,
48309,tx,McLennan County,8,
48321,tx,Matagorda County,3,
48335,tx,Mitchell County,1,
48339,tx,Montgomery County,16,
48343,tx,Morris County,1,
48347,tx,Nacogdoches County,1,
48349,tx,Navarro County,6,
48351,tx,Newton County,1,
48355,tx,Nueces County,12,
48357,tx,Ochiltree County,1,
48361,tx,Orange County,1,
48367,tx,Parker County,2,
48371,tx,Pecos County,2,
48373,tx,Polk County,2,
48375,tx,Potter County,11,
48381,tx,Randall County,3,
48387,tx,Red River County,2,
48391,tx,Refugio County,2,
48403,tx,Sabine County,1,
48407,tx,San Jacinto County,1,
48409,tx,San Patricio County,1,
48415,tx,Scurry County,1,
48419,tx,Shelby County,1,
48423,tx,Smith County,10,
48439,tx,Tarrant County,37,
48441,tx,Taylor County,5,
48451,tx,Tom Green County,3,
48453,tx,Travis County,8,
48455,tx,Trinity County,1,
48459,tx,Upshur County,1,
48465,tx,Val Verde County,1,
48469,tx,Victoria County,2,
48471,tx,Walker County,2,
48485,tx,Wichita County,2,
48487,tx,Wilbarger County,2,
48491,tx,Williamson County,3,
48499,tx,Wood County,1,
49021,ut,Iron County,1,
49035,ut,Salt Lake County,2,
49049,ut,Utah County,1,
49057,ut,Weber County,3,
51001,va,Accomack County,1,
51009,va,Amherst County,1,
51011,va,Appomattox County,1,
51013,va,Arlington County,3,
51015,va,Augusta County,2,
51019,va,Bedford County,3,
51025,va,Brunswick County,2,
51027,va,Buchanan County,1,
51036,va,Charles City County,1,
51041,va,Chesterfield County,8,
51059,va,Fairfax County,5,
51067,va,Franklin County,2,
51069,va,Frederick County,1,
51079,va,Greene County,1,
51083,va,Halifax County,2,
51087,va,Henrico County,2,
51095,va,James City County,1,
51099,va,King George County,1,
51117,va,Mecklenburg County,2,
51119,va,Middlesex County,1,
51121,va,Montgomery County,2,
51131,va,Northampton County,1,
51139,va,Page County,1,
51141,va,Patrick County,1,
51143,va,Pittsylvania County,5,
51149,va,Prince George County,2,
51153,va,Prince William County,9,
51159,va,Richmond County,4,
51161,va,Roanoke County,2,
51173,va,Smyth County,2,
51175,va,Southampton County,1,
51187,va,Warren County,1,
51195,va,Wise County,1,
51199,va,York County,2,
51550,va,Chesapeake city,1,
51590,va,Danville city,3,
51600,va,Fairfax city,2,
51650,va,Hampton city,5,
51683,va,Manassas city,1,
51700,va,Newport News city,3,
51710,va,Norfolk city,1,
51730,va,Petersburg city,2,
51740,va,Portsmouth city,5,
51760,va,Richmond city,2,
51790,va,Staunton city,1,
51810,va,Virginia Beach city,8,
51830,va,Williamsburg city,1,
53005,wa,Benton County,1,
53011,wa,Clark County,1,
53033,wa,King County,1,
53061,wa,Snohomish County,2,
56041,wy,Uinta County,1,
1097,al,Mobile County,10,
1073,al,Jefferson County,10,
1069,al,Houston County,1,
1101,al,Montgomery County,2,
5131,ar,Sebastian County,3,
5115,ar,Pope County,1,
5029,ar,Conway County,1,
1113,al,Russell County,2,
4019,az,Pima County,12,
6073,ca,San Diego County,1,
5125,ar,Saline County,1,
4005,az,Coconino County,3,
4003,az,Cochise County,2,
6001,ca,Alameda County,1,
5097,ar,Montgomery County,1,
5001,ar,Arkansas County,1,
5007,ar,Benton County,3,
5091,ar,Miller County,1,
1087,al,Macon County,1,
5119,ar,Pulaski County,4,
1099,al,Monroe County,2,
6037,ca,Los Angeles County,2,
6047,ca,Merced County,1,
5079,ar,Lincoln County,1,
4013,az,Maricopa County,11,
5083,ar,Logan County,2,
5099,ar,Nevada County,1,
4027,az,Yuma County,1,
4021,az,Pinal County,3,
5141,ar,Van Buren County,1,
8001,co,Adams County,1,
1089,al,Madison County,4,
6059,ca,Orange County,2,
5145,ar,White County,1,
5033,ar,Crawford County,1,
6067,ca,Sacramento County,1,
4025,az,Yavapai County,3,
1117,al,Shelby County,2,
5071,ar,Johnson County,1,
6113,ca,Yolo County,1,
1015,al,Calhoun County,4,
6075,ca,San Francisco County,1,
5069,ar,Jefferson County,1,
6071,ca,San Bernardino County,1,
1081,al,Lee County,2,
1009,al,Blount County,2,
1055,al,Etowah County,1,
5003,ar,Ashley County,1,
1125,al,Tuscaloosa County,3,
1067,al,Henry County,1,
6081,ca,San Mateo County,1,
1115,al,St. Clair County,1,
9011,ct,New London County,1,
1121,al,Talladega County,2,
5059,ar,Hot Spring County,1,
6021,ca,Glenn County,1,
1043,al,Cullman County,1,
1033,al,Colbert County,1,
1109,al,Pike County,1,
1045,al,Dale County,1,
1053,al,Escambia County,1,
4015,az,Mohave County,1,
1083,al,Limestone County,1,
